"aar","maaned","total_aarsvaerk","total_ansatte"
2015,1,19300,45395
2015,2,19809,46443
2015,3,20466,47831
2015,4,22293,51933
2015,5,23904,54697
2015,6,24749,57244
2015,7,25170,55768
2015,8,25957,56984
2015,9,24440,56457
2015,10,23589,54117
2015,11,23315,53873
2015,12,23290,52493
2016,1,20750,49190
2016,2,21625,50555
2016,3,22628,52808
2016,4,24165,56367
2016,5,26059,60440
2016,6,26894,62203
2016,7,27261,61122
2016,8,28441,63323
2016,9,26725,62204
2016,10,26060,61024
2016,11,25734,60382
2016,12,25298,58973
2017,1,22919,55081
2017,2,23609,56043
2017,3,23960,57375
2017,4,26215,62083
2017,5,28272,65796
2017,6,29121,68008
2017,7,29548,66804
2017,8,30351,68290
2017,9,28346,66299
2017,10,27731,64333
2017,11,27339,63544
2017,12,27027,61430
2018,1,24727,58073
2018,2,25226,59207
2018,3,25681,60551
2018,4,27868,64535
2018,5,29834,68950
2018,6,30321,70374
2018,7,30768,70180
2018,8,31943,71089
2018,9,29992,69368
2018,10,29286,67427
2018,11,28538,65943
2018,12,28100,64421
2019,1,25982,61835
2019,2,26213,62279
2019,3,27164,64048
2019,4,29497,69086
2019,5,30914,72313
2019,6,31990,74050
2019,7,32845,74083
2019,8,33301,74580
2019,9,31360,73175
2019,10,31496,73567
2019,11,32246,71201
2019,12,35086,70520
2020,1,30222,66162
2020,2,30841,67196
2020,3,26537,63052
2020,4,25056,46811
2020,5,26609,52480
2020,6,32949,65859
2020,7,33889,71612
2020,8,36225,74350
2020,9,33464,75295
2020,10,30815,70285
2020,11,29751,63190
2020,12,28765,60262
2021,1,25651,47737
2021,2,25173,46461
2021,3,24594,47110
2021,4,28410,53498
2021,5,34162,68425
2021,6,35838,75945
2021,7,37478,79204
2021,8,38606,81822
2021,9,37190,82054
2021,10,36941,80772
2021,11,36229,79447
2021,12,34737,76088
2022,1,30897,67010
2022,2,33598,71463
2022,3,33642,76693
2022,4,40035,82257
2022,5,40242,86196
2022,6,40993,88418
2022,7,39775,86193
2022,8,38770,87298
2022,9,37406,84171
2022,10,36326,80525
2022,11,35674,78485
2022,12,34748,77124
