Month;Employed
2008M01;34450
2008M02;34285
2008M03;34657
2008M04;35117
2008M05;35475
2008M06;35896
2008M07;35832
2008M08;35848
2008M09;35811
2008M10;35148
2008M11;34548
2008M12;34402
2009M01;33526
2009M02;33349
2009M03;33596
2009M04;34076
2009M05;34435
2009M06;34835
2009M07;34801
2009M08;34742
2009M09;34782
2009M10;34153
2009M11;34038
2009M12;33937
2010M01;33289
2010M02;33206
2010M03;33812
2010M04;34921
2010M05;35497
2010M06;36170
2010M07;36028
2010M08;35970
2010M09;36009
2010M10;35454
2010M11;35424
2010M12;35269
2011M01;34311
2011M02;34341
2011M03;35054
2011M04;35236
2011M05;36110
2011M06;36604
2011M07;36593
2011M08;36738
2011M09;36676
2011M10;36112
2011M11;35970
2011M12;35506
2012M01;34164
2012M02;34202
2012M03;34823
2012M04;35146
2012M05;35591
2012M06;36121
2012M07;36137
2012M08;36255
2012M09;36279
2012M10;35606
2012M11;35565
2012M12;35363
2013M01;34301
2013M02;34278
2013M03;34826
2013M04;35379
2013M05;35864
2013M06;36663
2013M07;36557
2013M08;36772
2013M09;36790
2013M10;36134
2013M11;35953
2013M12;35605
2014M01;34819
2014M02;34979
2014M03;35552
2014M04;35900
2014M05;36432
2014M06;37082
2014M07;36935
2014M08;37038
2014M09;37146
2014M10;36492
2014M11;36518
2014M12;36177
2015M01;35268
2015M02;35238
2015M03;35889
2015M04;36634
2015M05;37092
2015M06;37910
2015M07;37927
2015M08;38052
2015M09;38268
2015M10;37622
2015M11;37540
2015M12;37151
2016M01;36718
2016M02;36691
2016M03;37270
2016M04;37868
2016M05;38222
2016M06;38855
2016M07;38775
2016M08;39090
2016M09;39154
2016M10;38629
2016M11;38589
2016M12;38124
2017M01;37242
2017M02;37291
2017M03;37863
2017M04;38384
2017M05;38997
2017M06;39604
2017M07;39478
2017M08;39722
2017M09;39973
2017M10;39277
2017M11;39097
2017M12;38655
2018M01;38119
2018M02;38042
2018M03;38704
2018M04;39164
2018M05;39778
2018M06;40333
2018M07;39954
2018M08;40311
2018M09;40320
2018M10;39904
2018M11;39773
2018M12;39524
2019M01;39184
2019M02;39259
2019M03;39907
2019M04;40258
2019M05;40829
2019M06;41529
2019M07;41374
2019M08;41217
2019M09;41470
2019M10;41064
2019M11;40901
2019M12;40784
2020M01;40251
2020M02;40268
2020M03;40732
2020M04;40150
2020M05;40449
2020M06;41317
2020M07;42135
2020M08;42293
2020M09;42456
2020M10;41959
2020M11;41476
2020M12;40696
2021M01;39884
2021M02;40414
2021M03;40926
2021M04;41185
2021M05;41886
2021M06;43238
2021M07;43414
2021M08;43388
2021M09;43571
2021M10;43446
2021M11;43453
2021M12;43135
2022M01;42449
2022M02;42547
2022M03;43510
2022M04;44063
2022M05;44809
2022M06;45413
2022M07;45260
2022M08;44927
2022M09;45037
2022M10;44633
2022M11;44491
2022M12;43945
2023M01;43124
2023M02;42925
2023M03;43556
2023M04;43880
2023M05;44365
