Month;Employed
2008M01;168502
2008M02;168334
2008M03;168468
2008M04;169090
2008M05;170028
2008M06;171172
2008M07;170731
2008M08;170642
2008M09;170149
2008M10;169104
2008M11;167660
2008M12;164511
2009M01;155493
2009M02;151998
2009M03;149784
2009M04;148575
2009M05;149058
2009M06;149781
2009M07;149621
2009M08;150078
2009M09;149672
2009M10;148000
2009M11;145753
2009M12;142418
2010M01;130202
2010M02;125963
2010M03;127132
2010M04;131763
2010M05;135130
2010M06;137999
2010M07;139345
2010M08;140081
2010M09;141115
2010M10;140807
2010M11;140421
2010M12;137354
2011M01;127915
2011M02;126589
2011M03;128931
2011M04;131657
2011M05;134781
2011M06;137374
2011M07;139492
2011M08;140742
2011M09;141660
2011M10;141931
2011M11;142143
2011M12;140691
2012M01;134215
2012M02;131559
2012M03;132137
2012M04;133859
2012M05;135701
2012M06;137732
2012M07;139345
2012M08;140348
2012M09;140443
2012M10;140938
2012M11;141334
2012M12;139089
2013M01;132331
2013M02;129768
2013M03;129828
2013M04;131902
2013M05;134895
2013M06;137582
2013M07;139298
2013M08;139943
2013M09;139929
2013M10;139238
2013M11;139195
2013M12;138433
2014M01;134096
2014M02;132966
2014M03;134159
2014M04;135678
2014M05;137504
2014M06;139394
2014M07;141156
2014M08;141909
2014M09;142540
2014M10;143504
2014M11;143816
2014M12;142513
2015M01;137960
2015M02;137582
2015M03;138603
2015M04;139996
2015M05;141902
2015M06;144019
2015M07;145414
2015M08;146734
2015M09;147855
2015M10;148852
2015M11;149019
2015M12;148070
2016M01;143716
2016M02;143677
2016M03;144879
2016M04;146615
2016M05;148187
2016M06;150271
2016M07;151611
2016M08;152732
2016M09;153624
2016M10;154182
2016M11;154507
2016M12;153868
2017M01;150338
2017M02;149961
2017M03;151025
2017M04;152587
2017M05;154069
2017M06;155992
2017M07;157717
2017M08;158842
2017M09;159470
2017M10;160589
2017M11;161213
2017M12;160443
2018M01;157748
2018M02;157618
2018M03;157821
2018M04;159421
2018M05;161412
2018M06;163262
2018M07;164703
2018M08;165725
2018M09;166137
2018M10;166622
2018M11;166910
2018M12;165456
2019M01;162696
2019M02;162877
2019M03;163899
2019M04;164944
2019M05;165955
2019M06;166648
2019M07;167153
2019M08;168037
2019M09;168225
2019M10;169012
2019M11;169489
2019M12;168416
2020M01;165586
2020M02;166599
2020M03;166558
2020M04;165609
2020M05;166257
2020M06;167488
2020M07;169071
2020M08;170923
2020M09;172283
2020M10;173722
2020M11;174674
2020M12;174182
2021M01;171868
2021M02;172110
2021M03;173069
2021M04;174677
2021M05;176001
2021M06;177468
2021M07;178489
2021M08;179558
2021M09;180773
2021M10;181911
2021M11;182801
2021M12;181977
2022M01;180132
2022M02;181442
2022M03;182614
2022M04;183825
2022M05;184736
2022M06;185288
2022M07;185859
2022M08;186646
2022M09;187184
2022M10;187440
2022M11;187218
2022M12;185285
2023M01;182388
2023M02;182728
2023M03;182684
2023M04;182480
2023M05;183801
