Month;Employed
2008M01;141573
2008M02;143284
2008M03;143410
2008M04;143933
2008M05;143381
2008M06;141543
2008M07;141177
2008M08;142832
2008M09;143721
2008M10;143946
2008M11;144235
2008M12;143692
2009M01;141670
2009M02;145088
2009M03;145981
2009M04;147181
2009M05;147323
2009M06;146278
2009M07;145393
2009M08;147346
2009M09;148030
2009M10;148292
2009M11;148665
2009M12;147977
2010M01;146941
2010M02;149942
2010M03;150457
2010M04;151234
2010M05;151131
2010M06;149070
2010M07;147557
2010M08;148578
2010M09;149344
2010M10;148971
2010M11;149022
2010M12;147814
2011M01;146607
2011M02;148922
2011M03;148458
2011M04;149075
2011M05;148290
2011M06;146598
2011M07;145988
2011M08;147007
2011M09;147391
2011M10;146844
2011M11;145916
2011M12;144093
2012M01;141376
2012M02;142887
2012M03;142650
2012M04;143415
2012M05;142920
2012M06;141922
2012M07;141450
2012M08;142626
2012M09;143379
2012M10;143968
2012M11;144043
2012M12;143438
2013M01;142239
2013M02;144546
2013M03;144533
2013M04;144272
2013M05;143880
2013M06;142311
2013M07;141695
2013M08;141485
2013M09;142488
2013M10;141757
2013M11;142174
2013M12;141434
2014M01;138124
2014M02;139665
2014M03;139769
2014M04;139424
2014M05;139070
2014M06;138001
2014M07;136771
2014M08;136745
2014M09;137513
2014M10;137914
2014M11;137795
2014M12;136716
2015M01;136657
2015M02;138649
2015M03;139225
2015M04;139435
2015M05;138900
2015M06;137945
2015M07;137112
2015M08;137961
2015M09;138475
2015M10;137964
2015M11;137964
2015M12;136817
2016M01;136178
2016M02;138234
2016M03;138517
2016M04;139033
2016M05;139059
2016M06;138651
2016M07;137549
2016M08;138748
2016M09;139645
2016M10;139594
2016M11;139691
2016M12;138069
2017M01;136859
2017M02;139174
2017M03;139966
2017M04;140427
2017M05;140186
2017M06;139424
2017M07;138609
2017M08;140157
2017M09;141290
2017M10;141669
2017M11;141474
2017M12;140956
2018M01;140293
2018M02;142112
2018M03;142776
2018M04;143933
2018M05;143725
2018M06;142741
2018M07;142567
2018M08;143228
2018M09;144249
2018M10;144490
2018M11;144746
2018M12;143774
2019M01;143332
2019M02;145532
2019M03;146172
2019M04;147524
2019M05;147492
2019M06;146479
2019M07;146049
2019M08;147345
2019M09;148209
2019M10;148422
2019M11;148881
2019M12;147567
2020M01;146379
2020M02;148907
2020M03;149418
2020M04;149681
2020M05;149617
2020M06;148665
2020M07;148438
2020M08;150004
2020M09;151943
2020M10;152940
2020M11;152913
2020M12;151695
2021M01;148182
2021M02;150918
2021M03;151714
2021M04;152871
2021M05;153212
2021M06;152214
2021M07;150799
2021M08;152751
2021M09;153556
2021M10;154007
2021M11;154582
2021M12;153105
2022M01;152847
2022M02;154770
2022M03;155331
2022M04;156172
2022M05;156367
2022M06;154996
2022M07;154142
2022M08;155813
2022M09;156955
2022M10;157334
2022M11;157945
2022M12;157163
2023M01;157192
2023M02;159165
2023M03;160358
2023M04;160337
2023M05;161730
