Month;Employed
2008M01;97630
2008M02;98408
2008M03;98505
2008M04;98848
2008M05;98901
2008M06;97658
2008M07;96722
2008M08;97092
2008M09;97907
2008M10;98027
2008M11;97825
2008M12;97710
2009M01;97564
2009M02;98174
2009M03;98178
2009M04;97579
2009M05;96899
2009M06;96213
2009M07;94806
2009M08;94308
2009M09;94705
2009M10;94183
2009M11;93553
2009M12;93287
2010M01;93342
2010M02;93868
2010M03;94398
2010M04;94310
2010M05;94399
2010M06;94299
2010M07;93590
2010M08;93493
2010M09;93849
2010M10;93895
2010M11;94003
2010M12;94513
2011M01;93477
2011M02;93969
2011M03;94322
2011M04;94189
2011M05;94208
2011M06;93871
2011M07;93213
2011M08;93557
2011M09;94412
2011M10;94270
2011M11;94051
2011M12;94021
2012M01;94403
2012M02;94798
2012M03;95130
2012M04;94878
2012M05;94794
2012M06;94985
2012M07;94272
2012M08;94198
2012M09;94485
2012M10;94659
2012M11;94169
2012M12;93866
2013M01;93499
2013M02;93940
2013M03;93987
2013M04;94095
2013M05;94309
2013M06;93990
2013M07;93697
2013M08;93924
2013M09;94369
2013M10;94145
2013M11;94371
2013M12;94284
2014M01;93390
2014M02;93986
2014M03;94138
2014M04;94333
2014M05;94698
2014M06;94465
2014M07;94092
2014M08;94420
2014M09;95420
2014M10;95397
2014M11;95069
2014M12;94810
2015M01;96061
2015M02;96605
2015M03;96962
2015M04;97278
2015M05;97457
2015M06;97701
2015M07;96945
2015M08;97435
2015M09;98436
2015M10;99056
2015M11;99394
2015M12;99501
2016M01;98898
2016M02;99728
2016M03;100490
2016M04;100567
2016M05;100748
2016M06;101111
2016M07;100301
2016M08;101039
2016M09;101783
2016M10;102199
2016M11;102657
2016M12;102488
2017M01;102112
2017M02;103179
2017M03;103794
2017M04;103892
2017M05;103936
2017M06;104001
2017M07;103306
2017M08;103690
2017M09;104222
2017M10;104162
2017M11;104580
2017M12;104968
2018M01;104750
2018M02;105586
2018M03;105874
2018M04;106186
2018M05;106515
2018M06;106446
2018M07;105447
2018M08;106085
2018M09;106824
2018M10;107395
2018M11;107967
2018M12;107939
2019M01;107871
2019M02;108506
2019M03;109313
2019M04;109524
2019M05;109680
2019M06;109617
2019M07;109572
2019M08;110137
2019M09;111223
2019M10;112003
2019M11;112420
2019M12;112202
2020M01;111484
2020M02;112226
2020M03;112525
2020M04;111384
2020M05;110994
2020M06;111063
2020M07;110432
2020M08;110744
2020M09;111826
2020M10;112639
2020M11;113110
2020M12;113196
2021M01;113641
2021M02;114508
2021M03;115055
2021M04;115816
2021M05;117081
2021M06;117310
2021M07;116089
2021M08;117199
2021M09;119371
2021M10;119746
2021M11;120469
2021M12;120461
2022M01;120550
2022M02;121972
2022M03;123261
2022M04;123623
2022M05;124453
2022M06;125093
2022M07;123498
2022M08;124305
2022M09;125499
2022M10;125512
2022M11;125810
2022M12;125635
2023M01;125117
2023M02;125387
2023M03;125867
2023M04;125533
2023M05;125571
